step_id	tool_id	sample_id	input_name	path	exists	source
SRR11038083_qc_fastp	fastp	SRR11038083	read1	/root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_1.fastq.gz	True	sample
SRR11038083_qc_fastp	fastp	SRR11038083	read2	/root/autodl-tmp/abi-real-data/raw/plasmid_scapp/SRR11038083_2.fastq.gz	True	sample
SRR11038083_assembly_megahit	megahit	SRR11038083	read1	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083_R1.clean.fastq.gz	True	config_or_plan
SRR11038083_assembly_megahit	megahit	SRR11038083	read2	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/01_qc/SRR11038083/SRR11038083_R2.clean.fastq.gz	True	config_or_plan
SRR11038083_plasmid_detection_genomad	genomad	SRR11038083	assembly	/root/autodl-tmp/abi-real-data/results/metagenomic_plasmid_srr11038083_candidate_followup_20260811_resume/02_assembly/SRR11038083/final.contigs.fa	True	config_or_plan
SRR11038083_plasmid_detection_genomad	genomad	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/genomad/genomad_db	True	config_or_plan
SRR11038083_annotation_amrfinderplus	amrfinderplus	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/amrfinderplus/latest	True	config_or_plan
SRR11038083_annotation_bakta	bakta	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/bakta_v6_full/db	True	config_or_plan
SRR11038083_annotation_rgi	rgi	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/card	True	config_or_plan
SRR11038083_typing_plasmidfinder	plasmidfinder	SRR11038083	database	/root/autodl-tmp/resources/autoplasm/plasmidfinder_db/DB	True	config_or_plan
